cohort_month,cohort_size,total_t0_mrr,tenure_months,retained_logos,nrr_mrr_at_tn,grr_mrr_at_tn,nrr_pct,grr_pct,logo_ret_pct
2023-02-01,83,36167.0,10,59,31241.0,26441.0,86.38,73.11,71.08
2023-02-01,83,36167.0,11,58,31192.0,26542.0,86.24,73.39,69.88
2023-02-01,83,36167.0,12,56,31094.0,26444.0,85.97,73.12,67.47
2023-03-01,118,49132.0,0,118,49132.0,49132.0,100.0,100.0,100.0
2023-03-01,118,49132.0,1,114,49536.0,47736.0,100.82,97.16,96.61
2023-03-01,118,49132.0,2,110,49190.0,46790.0,100.12,95.23,93.22
2023-03-01,118,49132.0,3,104,48596.0,46196.0,98.91,94.02,88.14
2023-03-01,118,49132.0,4,102,47748.0,45048.0,97.18,91.69,86.44
2023-03-01,118,49132.0,5,93,44307.0,41457.0,90.18,84.38,78.81
2023-03-01,118,49132.0,6,90,42660.0,39660.0,86.83,80.72,76.27
2023-03-01,118,49132.0,7,86,42914.0,38714.0,87.34,78.8,72.88
2023-03-01,118,49132.0,8,82,40018.0,36418.0,81.45,74.12,69.49
2023-03-01,118,49132.0,9,82,40018.0,36268.0,81.45,73.82,69.49
2023-03-01,118,49132.0,10,78,40122.0,35772.0,81.66,72.81,66.1
2023-03-01,118,49132.0,11,76,41224.0,35674.0,83.9,72.61,64.41
2023-03-01,118,49132.0,12,76,43024.0,35674.0,87.57,72.61,64.41
2023-04-01,142,62008.0,0,142,62008.0,62008.0,100.0,100.0,100.0
2023-04-01,142,62008.0,1,141,62709.0,61959.0,101.13,99.92,99.3
2023-04-01,142,62008.0,2,132,62118.0,61068.0,100.18,98.48,92.96
2023-04-01,142,62008.0,3,126,61374.0,58974.0,98.98,95.11,88.73
2023-04-01,142,62008.0,4,120,57930.0,55530.0,93.42,89.55,84.51
2023-04-01,142,62008.0,5,117,57633.0,55233.0,92.94,89.07,82.39
2023-04-01,142,62008.0,6,115,58735.0,55135.0,94.72,88.92,80.99
2023-04-01,142,62008.0,7,111,57489.0,52089.0,92.71,84.0,78.17
2023-04-01,142,62008.0,8,108,57342.0,51492.0,92.48,83.04,76.06
2023-04-01,142,62008.0,9,107,57743.0,51293.0,93.12,82.72,75.35
2023-04-01,142,62008.0,10,104,53096.0,47246.0,85.63,76.19,73.24
2023-04-01,142,62008.0,11,102,52248.0,46998.0,84.26,75.79,71.83
2023-04-01,142,62008.0,12,99,50601.0,44751.0,81.6,72.17,69.72
2023-05-01,152,55748.0,0,152,55748.0,55748.0,100.0,100.0,100.0
2023-05-01,152,55748.0,1,148,56752.0,55252.0,101.8,99.11,97.37
2023-05-01,152,55748.0,2,145,56605.0,53155.0,101.54,95.35,95.39
2023-05-01,152,55748.0,3,138,55212.0,50562.0,99.04,90.7,90.79
2023-05-01,152,55748.0,4,134,54716.0,49316.0,98.15,88.46,88.16
2023-05-01,152,55748.0,5,128,52022.0,45872.0,93.32,82.28,84.21
2023-05-01,152,55748.0,6,123,51327.0,45177.0,92.07,81.04,80.92
2023-05-01,152,55748.0,7,121,50329.0,44179.0,90.28,79.25,79.61
2023-05-01,152,55748.0,8,114,50436.0,42486.0,90.47,76.21,75.0
2023-05-01,152,55748.0,9,111,50739.0,42039.0,91.01,75.41,73.03
2023-05-01,152,55748.0,10,110,50990.0,41990.0,91.47,75.32,72.37
2023-05-01,152,55748.0,11,106,50644.0,41644.0,90.84,74.7,69.74
2023-05-01,152,55748.0,12,103,50047.0,41047.0,89.77,73.63,67.76
2023-06-01,146,69554.0,0,146,69554.0,69554.0,100.0,100.0,100.0
2023-06-01,146,69554.0,1,142,69958.0,69208.0,100.58,99.5,97.26
2023-06-01,146,69554.0,2,141,71709.0,69009.0,103.1,99.22,96.58
2023-06-01,146,69554.0,3,138,67812.0,64962.0,97.5,93.4,94.52
2023-06-01,146,69554.0,4,134,68066.0,64166.0,97.86,92.25,91.78
2023-06-01,146,69554.0,5,131,67919.0,64019.0,97.65,92.04,89.73
2023-06-01,146,69554.0,6,131,68669.0,64019.0,98.73,92.04,89.73
2023-06-01,146,69554.0,7,128,68822.0,62822.0,98.95,90.32,87.67
2023-06-01,146,69554.0,8,126,69174.0,61824.0,99.45,88.89,86.3
2023-06-01,146,69554.0,9,122,68828.0,61028.0,98.96,87.74,83.56
2023-06-01,146,69554.0,10,118,65332.0,57532.0,93.93,82.72,80.82
2023-06-01,146,69554.0,11,113,63437.0,54287.0,91.21,78.05,77.4
2023-06-01,146,69554.0,12,110,62840.0,54290.0,90.35,78.05,75.34
2023-07-01,270,122880.0,0,270,122880.0,122880.0,100.0,100.0,100.0
2023-07-01,270,122880.0,1,262,122938.0,121888.0,100.05,99.19,97.04
2023-07-01,270,122880.0,2,256,121594.0,118294.0,98.95,96.27,94.81
2023-07-01,270,122880.0,3,248,121952.0,117152.0,99.24,95.34,91.85
2023-07-01,270,122880.0,4,240,118710.0,114210.0,96.61,92.94,88.89
2023-07-01,270,122880.0,5,232,116818.0,110518.0,95.07,89.94,85.93
2023-07-01,270,122880.0,6,221,115679.0,106979.0,94.14,87.06,81.85
2023-07-01,270,122880.0,7,216,113934.0,104484.0,92.72,85.03,80.0
2023-07-01,270,122880.0,8,211,113389.0,102889.0,92.28,83.73,78.15
2023-07-01,270,122880.0,9,205,109945.0,99595.0,89.47,81.05,75.93
2023-07-01,270,122880.0,10,196,106654.0,96304.0,86.8,78.37,72.59
2023-07-01,270,122880.0,11,191,106709.0,95009.0,86.84,77.32,70.74
2023-07-01,270,122880.0,12,182,117018.0,94708.0,95.23,77.07,67.41
2023-08-01,256,131194.0,0,256,131194.0,131194.0,100.0,100.0,100.0
2023-08-01,256,131194.0,1,249,130551.0,129801.0,99.51,98.94,97.27
2023-08-01,256,131194.0,2,243,128307.0,127557.0,97.8,97.23,94.92
2023-08-01,256,131194.0,3,236,123464.0,121214.0,94.11,92.39,92.19
2023-08-01,256,131194.0,4,227,117773.0,112223.0,89.77,85.54,88.67
2023-08-01,256,131194.0,5,225,117975.0,110925.0,89.92,84.55,87.89
2023-08-01,256,131194.0,6,223,119977.0,110377.0,91.45,84.13,87.11
2023-08-01,256,131194.0,7,218,116732.0,106532.0,88.98,81.2,85.16
2023-08-01,256,131194.0,8,211,117889.0,106039.0,89.86,80.83,82.42
2023-08-01,256,131194.0,9,203,113597.0,101897.0,86.59,77.67,79.3
2023-08-01,256,131194.0,10,193,111007.0,99157.0,84.61,75.58,75.39
2023-08-01,256,131194.0,11,187,122773.0,97633.0,93.58,74.42,73.05
2023-08-01,256,131194.0,12,181,120419.0,94299.0,91.79,71.88,70.7
2023-09-01,287,125663.0,0,287,125663.0,125663.0,100.0,100.0,100.0
2023-09-01,287,125663.0,1,281,125969.0,125069.0,100.24,99.53,97.91
2023-09-01,287,125663.0,2,274,126226.0,122476.0,100.45,97.46,95.47
2023-09-01,287,125663.0,3,268,123832.0,117982.0,98.54,93.89,93.38
2023-09-01,287,125663.0,4,260,118790.0,111740.0,94.53,88.92,90.59
2023-09-01,287,125663.0,5,253,118747.0,110197.0,94.5,87.69,88.15
2023-09-01,287,125663.0,6,247,119953.0,107203.0,95.46,85.31,86.06
2023-09-01,287,125663.0,7,244,121756.0,107056.0,96.89,85.19,85.02
2023-09-01,287,125663.0,8,237,116013.0,99813.0,92.32,79.43,82.58
2023-09-01,287,125663.0,9,234,112866.0,95616.0,89.82,76.09,81.53
2023-09-01,287,125663.0,10,227,124563.0,94913.0,99.12,75.53,79.09
2023-09-01,287,125663.0,11,216,124534.0,93184.0,99.1,74.15,75.26
2023-09-01,287,125663.0,12,205,121545.0,89735.0,96.72,71.41,71.43
2023-10-01,333,147567.0,0,333,147567.0,147567.0,100.0,100.0,100.0
2023-10-01,333,147567.0,1,322,146728.0,145528.0,99.43,98.62,96.7
2023-10-01,333,147567.0,2,311,143489.0,137339.0,97.24,93.07,93.39
2023-10-01,333,147567.0,3,301,139999.0,133249.0,94.87,90.3,90.39
2023-10-01,333,147567.0,4,292,138658.0,129508.0,93.96,87.76,87.69
2023-10-01,333,147567.0,5,277,135223.0,125023.0,91.63,84.72,83.18
2023-10-01,333,147567.0,6,267,133083.0,122733.0,90.18,83.17,80.18
2023-10-01,333,147567.0,7,257,130793.0,120443.0,88.63,81.62,77.18
2023-10-01,333,147567.0,8,244,126106.0,114406.0,85.46,77.53,73.27
2023-10-01,333,147567.0,9,241,135839.0,111489.0,92.05,75.55,72.37
2023-10-01,333,147567.0,10,233,134227.0,109167.0,90.96,73.98,69.97
2023-10-01,333,147567.0,11,228,132002.0,105752.0,89.45,71.66,68.47
2023-10-01,333,147567.0,12,222,128568.0,101388.0,87.13,68.71,66.67
2023-11-01,392,197858.0,0,392,197858.0,197858.0,100.0,100.0,100.0
2023-11-01,392,197858.0,1,385,199315.0,196165.0,100.74,99.14,98.21
2023-11-01,392,197858.0,2,370,196630.0,190930.0,99.38,96.5,94.39
2023-11-01,392,197858.0,3,354,196146.0,186846.0,99.13,94.43,90.31
2023-11-01,392,197858.0,4,342,191208.0,181608.0,96.64,91.79,87.24
2023-11-01,392,197858.0,5,334,186916.0,175966.0,94.47,88.94,85.2
2023-11-01,392,197858.0,6,325,183175.0,171325.0,92.58,86.59,82.91
2023-11-01,392,197858.0,7,315,177135.0,165885.0,89.53,83.84,80.36
2023-11-01,392,197858.0,8,305,194605.0,163005.0,98.36,82.38,77.81
2023-11-01,392,197858.0,9,299,192251.0,160431.0,97.17,81.08,76.28
2023-11-01,392,197858.0,10,291,188729.0,155549.0,95.39,78.62,74.23
2023-11-01,392,197858.0,11,283,184127.0,149837.0,93.06,75.73,72.19
2023-11-01,392,197858.0,12,272,178848.0,144658.0,90.39,73.11,69.39
2023-12-01,482,228668.0,0,482,228668.0,228668.0,100.0,100.0,100.0
2023-12-01,482,228668.0,1,470,226880.0,226280.0,99.22,98.96,97.51
2023-12-01,482,228668.0,2,454,223696.0,219646.0,97.83,96.05,94.19
2023-12-01,482,228668.0,3,437,220013.0,214913.0,96.22,93.98,90.66
2023-12-01,482,228668.0,4,424,218476.0,212776.0,95.54,93.05,87.97
2023-12-01,482,228668.0,5,409,209041.0,202141.0,91.42,88.4,84.85
2023-12-01,482,228668.0,6,398,202652.0,194402.0,88.62,85.01,82.57
2023-12-01,482,228668.0,7,389,223681.0,191281.0,97.82,83.65,80.71
2023-12-01,482,228668.0,8,373,216307.0,183657.0,94.59,80.32,77.39
2023-12-01,482,228668.0,9,356,209344.0,174784.0,91.55,76.44,73.86
2023-12-01,482,228668.0,10,340,208380.0,171610.0,91.13,75.05,70.54
2023-12-01,482,228668.0,11,330,204520.0,167030.0,89.44,73.04,68.46
2023-12-01,482,228668.0,12,319,204681.0,165341.0,89.51,72.31,66.18
2024-01-01,574,239026.0,0,574,239026.0,239026.0,100.0,100.0,100.0
2024-01-01,574,239026.0,1,560,237740.0,234590.0,99.46,98.14,97.56
2024-01-01,574,239026.0,2,550,235000.0,230050.0,98.32,96.24,95.82
2024-01-01,574,239026.0,3,532,229468.0,222718.0,96.0,93.18,92.68
2024-01-01,574,239026.0,4,521,228329.0,220229.0,95.52,92.14,90.77
2024-01-01,574,239026.0,5,496,218404.0,208804.0,91.37,87.36,86.41
2024-01-01,574,239026.0,6,480,241620.0,207260.0,101.09,86.71,83.62
2024-01-01,574,239026.0,7,454,235826.0,200006.0,98.66,83.68,79.09
2024-01-01,574,239026.0,8,436,232844.0,196324.0,97.41,82.13,75.96
2024-01-01,574,239026.0,9,422,229898.0,191878.0,96.18,80.27,73.52
2024-01-01,574,239026.0,10,410,225060.0,186230.0,94.16,77.91,71.43
2024-01-01,574,239026.0,11,390,215710.0,177850.0,90.25,74.41,67.94
2024-01-01,574,239026.0,12,374,208326.0,172186.0,87.16,72.04,65.16
2024-02-01,566,251384.0,0,566,251384.0,251384.0,100.0,100.0,100.0
2024-02-01,566,251384.0,1,559,254491.0,250591.0,101.24,99.68,98.76
2024-02-01,566,251384.0,2,539,246311.0,239411.0,97.98,95.24,95.23
2024-02-01,566,251384.0,3,517,238183.0,228883.0,94.75,91.05,91.34
2024-02-01,566,251384.0,4,503,233447.0,222047.0,92.86,88.33,88.87
2024-02-01,566,251384.0,5,491,259209.0,216069.0,103.11,85.95,86.75
2024-02-01,566,251384.0,6,467,255323.0,209303.0,101.57,83.26,82.51
2024-02-01,566,251384.0,7,448,247422.0,200532.0,98.42,79.77,79.15
2024-02-01,566,251384.0,8,432,238658.0,192888.0,94.94,76.73,76.33
2024-02-01,566,251384.0,9,417,232453.0,187553.0,92.47,74.61,73.67
2024-02-01,566,251384.0,10,396,226194.0,179714.0,89.98,71.49,69.96
2024-02-01,566,251384.0,11,381,222399.0,177289.0,88.47,70.53,67.31
2024-02-01,566,251384.0,12,369,213391.0,172251.0,84.89,68.52,65.19
2024-03-01,617,280733.0,0,617,280733.0,280733.0,100.0,100.0,100.0
2024-03-01,617,280733.0,1,610,286690.0,279940.0,102.12,99.72,98.87
2024-03-01,617,280733.0,2,590,279260.0,267560.0,99.48,95.31,95.62
2024-03-01,617,280733.0,3,574,273526.0,260776.0,97.43,92.89,93.03
2024-03-01,617,280733.0,4,563,297607.0,252857.0,106.01,90.07,91.25
2024-03-01,617,280733.0,5,542,288328.0,241828.0,102.71,86.14,87.84
2024-03-01,617,280733.0,6,526,287854.0,236994.0,102.54,84.42,85.25
2024-03-01,617,280733.0,7,510,286960.0,232270.0,102.22,82.74,82.66
2024-03-01,617,280733.0,8,502,286258.0,229088.0,101.97,81.6,81.36
2024-03-01,617,280733.0,9,488,278052.0,219802.0,99.05,78.3,79.09
2024-03-01,617,280733.0,10,470,270370.0,211560.0,96.31,75.36,76.18
2024-03-01,617,280733.0,11,455,260985.0,204495.0,92.97,72.84,73.74
2024-03-01,617,280733.0,12,440,254070.0,197880.0,90.5,70.49,71.31
2024-04-01,611,292289.0,0,611,292289.0,292289.0,100.0,100.0,100.0
2024-04-01,611,292289.0,1,602,295448.0,291548.0,101.08,99.75,98.53
2024-04-01,611,292289.0,2,584,289766.0,282716.0,99.14,96.72,95.58
2024-04-01,611,292289.0,3,566,321184.0,277164.0,109.89,94.83,92.64
2024-04-01,611,292289.0,4,546,313034.0,266584.0,107.1,91.21,89.36
2024-04-01,611,292289.0,5,531,310599.0,261319.0,106.26,89.4,86.91
2024-04-01,611,292289.0,6,515,305775.0,257045.0,104.61,87.94,84.29
2024-04-01,611,292289.0,7,501,307109.0,251819.0,105.07,86.15,82.0
2024-04-01,611,292289.0,8,483,303507.0,246437.0,103.84,84.31,79.05
2024-04-01,611,292289.0,9,470,298600.0,241910.0,102.16,82.76,76.92
2024-04-01,611,292289.0,10,451,291239.0,235579.0,99.64,80.6,73.81
2024-04-01,611,292289.0,11,437,287323.0,230563.0,98.3,78.88,71.52
2024-04-01,611,292289.0,12,417,280673.0,223503.0,96.03,76.47,68.25
2024-05-01,752,351548.0,0,752,351548.0,351548.0,100.0,100.0,100.0
2024-05-01,752,351548.0,1,739,356461.0,349111.0,101.4,99.31,98.27
2024-05-01,752,351548.0,2,715,389595.0,339455.0,110.82,96.56,95.08
2024-05-01,752,351548.0,3,690,382540.0,329400.0,108.82,93.7,91.76
2024-05-01,752,351548.0,4,669,374641.0,318461.0,106.57,90.59,88.96
2024-05-01,752,351548.0,5,639,365121.0,306561.0,103.86,87.2,84.97
2024-05-01,752,351548.0,6,622,357478.0,300078.0,101.69,85.36,82.71
2024-05-01,752,351548.0,7,605,343685.0,283265.0,97.76,80.58,80.45
2024-05-01,752,351548.0,8,589,338711.0,276541.0,96.35,78.66,78.32
2024-05-01,752,351548.0,9,565,331865.0,265825.0,94.4,75.62,75.13
2024-05-01,752,351548.0,10,552,331538.0,262748.0,94.31,74.74,73.4
2024-05-01,752,351548.0,11,524,321146.0,252076.0,91.35,71.7,69.68
2024-05-01,752,351548.0,12,512,323308.0,248218.0,91.97,70.61,68.09
2024-06-01,832,372718.0,0,832,372718.0,372718.0,100.0,100.0,100.0
2024-06-01,832,372718.0,1,817,414653.0,368233.0,111.25,98.8,98.2
2024-06-01,832,372718.0,2,779,405871.0,354061.0,108.89,94.99,93.63
2024-06-01,832,372718.0,3,748,393292.0,338042.0,105.52,90.7,89.9
2024-06-01,832,372718.0,4,725,387855.0,329395.0,104.06,88.38,87.14
2024-06-01,832,372718.0,5,697,384453.0,320313.0,103.15,85.94,83.77
2024-06-01,832,372718.0,6,679,379571.0,312741.0,101.84,83.91,81.61
2024-06-01,832,372718.0,7,664,379306.0,308076.0,101.77,82.66,79.81
2024-06-01,832,372718.0,8,643,374777.0,302217.0,100.55,81.08,77.28
2024-06-01,832,372718.0,9,626,366784.0,293734.0,98.41,78.81,75.24
2024-06-01,832,372718.0,10,597,358983.0,281503.0,96.31,75.53,71.75
2024-06-01,832,372718.0,11,575,346735.0,269695.0,93.03,72.36,69.11
2024-06-01,832,372718.0,12,551,340519.0,262129.0,91.36,70.33,66.23
2024-07-01,899,434791.0,0,899,434791.0,434791.0,100.0,100.0,100.0
2024-07-01,899,434791.0,1,884,435736.0,430396.0,100.22,98.99,98.33
2024-07-01,899,434791.0,2,859,431351.0,422351.0,99.21,97.14,95.55
2024-07-01,899,434791.0,3,823,423397.0,409877.0,97.38,94.27,91.55
2024-07-01,899,434791.0,4,790,414350.0,393580.0,95.3,90.52,87.88
2024-07-01,899,434791.0,5,762,408028.0,383938.0,93.84,88.3,84.76
2024-07-01,899,434791.0,6,739,396471.0,371471.0,91.19,85.44,82.2
2024-07-01,899,434791.0,7,712,380998.0,353638.0,87.63,81.34,79.2
2024-07-01,899,434791.0,8,691,382059.0,343859.0,87.87,79.09,76.86
2024-07-01,899,434791.0,9,663,375927.0,334567.0,86.46,76.95,73.75
2024-07-01,899,434791.0,10,648,370782.0,325332.0,85.28,74.82,72.08
2024-07-01,899,434791.0,11,628,364412.0,317942.0,83.81,73.13,69.86
2024-07-01,899,434791.0,12,605,351875.0,304425.0,80.93,70.02,67.3
2024-08-01,846,443034.0,0,846,443034.0,443034.0,100.0,100.0,100.0
2024-08-01,846,443034.0,1,822,444408.0,437948.0,100.31,98.85,97.16
2024-08-01,846,443034.0,2,797,438933.0,427583.0,99.07,96.51,94.21
2024-08-01,846,443034.0,3,763,427887.0,415407.0,96.58,93.76,90.19
2024-08-01,846,443034.0,4,734,424996.0,407096.0,95.93,91.89,86.76
2024-08-01,846,443034.0,5,713,419717.0,396637.0,94.74,89.53,84.28
2024-08-01,846,443034.0,6,691,419229.0,392619.0,94.63,88.62,81.68
2024-08-01,846,443034.0,7,672,416248.0,385698.0,93.95,87.06,79.43
2024-08-01,846,443034.0,8,650,407170.0,376420.0,91.9,84.96,76.83
2024-08-01,846,443034.0,9,631,396459.0,363379.0,89.49,82.02,74.59
2024-08-01,846,443034.0,10,615,390125.0,355025.0,88.06,80.13,72.7
2024-08-01,846,443034.0,11,600,382450.0,345200.0,86.33,77.92,70.92
2024-08-01,846,443034.0,12,576,366454.0,328004.0,82.71,74.04,68.09
2024-09-01,934,461576.0,0,934,461576.0,461576.0,100.0,100.0,100.0
2024-09-01,934,461576.0,1,918,469972.0,457912.0,101.82,99.21,98.29
2024-09-01,934,461576.0,2,888,465112.0,449352.0,100.77,97.35,95.07
2024-09-01,934,461576.0,3,863,453577.0,435827.0,98.27,94.42,92.4
2024-09-01,934,461576.0,4,838,448152.0,427312.0,97.09,92.58,89.72
2024-09-01,934,461576.0,5,817,439363.0,415553.0,95.19,90.03,87.47
2024-09-01,934,461576.0,6,781,428199.0,402089.0,92.77,87.11,83.62
2024-09-01,934,461576.0,7,752,423848.0,392208.0,91.83,84.97,80.51
2024-09-01,934,461576.0,8,724,408276.0,374426.0,88.45,81.12,77.52
2024-09-01,934,461576.0,9,697,402663.0,365253.0,87.24,79.13,74.63
2024-09-01,934,461576.0,10,673,399827.0,359637.0,86.62,77.92,72.06
2024-09-01,934,461576.0,11,655,394955.0,352325.0,85.57,76.33,70.13
2024-09-01,934,461576.0,12,631,384619.0,339249.0,83.33,73.5,67.56
2024-10-01,900,420020.0,0,900,420020.0,420020.0,100.0,100.0,100.0
2024-10-01,900,420020.0,1,881,419739.0,415419.0,99.93,98.9,97.89
2024-10-01,900,420020.0,2,850,413780.0,399510.0,98.51,95.12,94.44
2024-10-01,900,420020.0,3,822,411058.0,390248.0,97.87,92.91,91.33
2024-10-01,900,420020.0,4,794,402436.0,377076.0,95.81,89.78,88.22
2024-10-01,900,420020.0,5,768,397032.0,368132.0,94.53,87.65,85.33
2024-10-01,900,420020.0,6,737,387773.0,356013.0,92.32,84.76,81.89
2024-10-01,900,420020.0,7,711,380959.0,343159.0,90.7,81.7,79.0
2024-10-01,900,420020.0,8,687,375883.0,332413.0,89.49,79.14,76.33
2024-10-01,900,420020.0,9,664,369256.0,323646.0,87.91,77.05,73.78
2024-10-01,900,420020.0,10,641,364839.0,318809.0,86.86,75.9,71.22
2024-10-01,900,420020.0,11,624,358186.0,309636.0,85.28,73.72,69.33
2024-10-01,900,420020.0,12,608,353882.0,303232.0,84.25,72.19,67.56
2024-11-01,1008,508082.0,0,1008,508082.0,508082.0,100.0,100.0,100.0
2024-11-01,1008,508082.0,1,978,506152.0,500692.0,99.62,98.55,97.02
2024-11-01,1008,508082.0,2,933,488967.0,475837.0,96.24,93.65,92.56
2024-11-01,1008,508082.0,3,903,472867.0,455417.0,93.07,89.63,89.58
2024-11-01,1008,508082.0,4,876,466334.0,443844.0,91.78,87.36,86.9
2024-11-01,1008,508082.0,5,854,462366.0,432506.0,91.0,85.13,84.72
2024-11-01,1008,508082.0,6,830,454140.0,421310.0,89.38,82.92,82.34
2024-11-01,1008,508082.0,7,805,450265.0,409585.0,88.62,80.61,79.86
2024-11-01,1008,508082.0,8,771,435249.0,391409.0,85.67,77.04,76.49
2024-11-01,1008,508082.0,9,739,425231.0,378991.0,83.69,74.59,73.31
2024-11-01,1008,508082.0,10,712,411818.0,363958.0,81.05,71.63,70.63
2024-11-01,1008,508082.0,11,689,399891.0,349321.0,78.71,68.75,68.35
2024-11-01,1008,508082.0,12,670,389040.0,339060.0,76.57,66.73,66.47
2024-12-01,1065,528125.0,0,1065,528125.0,528125.0,100.0,100.0,100.0
2024-12-01,1065,528125.0,1,1026,532164.0,519064.0,100.76,98.28,96.34
2024-12-01,1065,528125.0,2,991,516309.0,496329.0,97.76,93.98,93.05
2024-12-01,1065,528125.0,3,954,512196.0,487506.0,96.98,92.31,89.58
2024-12-01,1065,528125.0,4,920,500960.0,472130.0,94.86,89.4,86.38
2024-12-01,1065,528125.0,5,892,496588.0,461298.0,94.03,87.35,83.76
2024-12-01,1065,528125.0,6,856,492804.0,452814.0,93.31,85.74,80.38
2024-12-01,1065,528125.0,7,831,483009.0,435359.0,91.46,82.43,78.03
2024-12-01,1065,528125.0,8,797,468733.0,420103.0,88.75,79.55,74.84
2024-12-01,1065,528125.0,9,775,461045.0,408495.0,87.3,77.35,72.77
2024-12-01,1065,528125.0,10,734,444626.0,392226.0,84.19,74.27,68.92
2024-12-01,1065,528125.0,11,709,431101.0,378851.0,81.63,71.74,66.57
2024-12-01,1065,528125.0,12,689,421531.0,366691.0,79.82,69.43,64.69
2025-01-01,995,489525.0,0,995,489525.0,489525.0,100.0,100.0,100.0
2025-01-01,995,489525.0,1,966,486864.0,481744.0,99.46,98.41,97.09
2025-01-01,995,489525.0,2,936,486464.0,472994.0,99.37,96.62,94.07
2025-01-01,995,489525.0,3,894,473326.0,455566.0,96.69,93.06,89.85
2025-01-01,995,489525.0,4,868,468172.0,445642.0,95.64,91.04,87.24
2025-01-01,995,489525.0,5,832,460048.0,433008.0,93.98,88.45,83.62
2025-01-01,995,489525.0,6,809,450541.0,420411.0,92.04,85.88,81.31
2025-01-01,995,489525.0,7,781,437969.0,406119.0,89.47,82.96,78.49
2025-01-01,995,489525.0,8,758,433772.0,396222.0,88.61,80.94,76.18
2025-01-01,995,489525.0,9,734,425656.0,384986.0,86.95,78.64,73.77
2025-01-01,995,489525.0,10,703,413027.0,368567.0,84.37,75.29,70.65
2025-01-01,995,489525.0,11,684,407256.0,358666.0,83.19,73.27,68.74
2025-01-01,995,489525.0,12,670,401530.0,354330.0,82.02,72.38,67.34
2025-02-01,1028,519612.0,0,1028,519612.0,519612.0,100.0,100.0,100.0
2025-02-01,1028,519612.0,1,1002,520028.0,513398.0,100.08,98.8,97.47
2025-02-01,1028,519612.0,2,970,508120.0,496980.0,97.79,95.64,94.36
2025-02-01,1028,519612.0,3,933,492857.0,475087.0,94.85,91.43,90.76
2025-02-01,1028,519612.0,4,895,486985.0,460835.0,93.72,88.69,87.06
2025-02-01,1028,519612.0,5,857,478153.0,448113.0,92.02,86.24,83.37
2025-02-01,1028,519612.0,6,825,470295.0,437105.0,90.51,84.12,80.25
2025-02-01,1028,519612.0,7,791,462659.0,420269.0,89.04,80.88,76.95
2025-02-01,1028,519612.0,8,765,455275.0,406505.0,87.62,78.23,74.42
2025-02-01,1028,519612.0,9,738,448402.0,396282.0,86.3,76.26,71.79
2025-02-01,1028,519612.0,10,717,440173.0,382793.0,84.71,73.67,69.75
2025-02-01,1028,519612.0,11,699,434431.0,378031.0,83.61,72.75,68.0
2025-03-01,1008,549902.0,0,1008,549902.0,549902.0,100.0,100.0,100.0
2025-03-01,1008,549902.0,1,992,553688.0,547248.0,100.69,99.52,98.41
2025-03-01,1008,549902.0,2,956,543004.0,530104.0,98.75,96.4,94.84
2025-03-01,1008,549902.0,3,923,533927.0,516927.0,97.09,94.0,91.57
2025-03-01,1008,549902.0,4,892,520228.0,497548.0,94.6,90.48,88.49
2025-03-01,1008,549902.0,5,854,509206.0,479536.0,92.6,87.2,84.72
2025-03-01,1008,549902.0,6,828,503782.0,466492.0,91.61,84.83,82.14
