cohort_month,cohort_size,t0_mrr,avg_t0_mrr_per_customer,t0_nrr_pct,t1_nrr_pct,t2_nrr_pct,t3_nrr_pct,t4_nrr_pct,t5_nrr_pct,t6_nrr_pct,t7_nrr_pct,t8_nrr_pct,t9_nrr_pct,t10_nrr_pct,t11_nrr_pct,t12_nrr_pct,t1_grr_pct,t3_grr_pct,t6_grr_pct,t12_grr_pct,t1_logo_ret_pct,t3_logo_ret_pct,t6_logo_ret_pct,t12_logo_ret_pct,t3_mrr_retained,t6_mrr_retained,t12_mrr_retained,t12_grr_mrr
2023-11-01,392,197858.0,504.74,100.0,100.74,99.38,99.13,96.64,94.47,92.58,89.53,98.36,97.17,95.39,93.06,90.39,99.14,94.43,86.59,73.11,98.21,90.31,82.91,69.39,196146.0,183175.0,178848.0,144658.0
2023-12-01,482,228668.0,474.41,100.0,99.22,97.83,96.22,95.54,91.42,88.62,97.82,94.59,91.55,91.13,89.44,89.51,98.96,93.98,85.01,72.31,97.51,90.66,82.57,66.18,220013.0,202652.0,204681.0,165341.0
2024-01-01,574,239026.0,416.42,100.0,99.46,98.32,96.0,95.52,91.37,101.09,98.66,97.41,96.18,94.16,90.25,87.16,98.14,93.18,86.71,72.04,97.56,92.68,83.62,65.16,229468.0,241620.0,208326.0,172186.0
2024-02-01,566,251384.0,444.14,100.0,101.24,97.98,94.75,92.86,103.11,101.57,98.42,94.94,92.47,89.98,88.47,84.89,99.68,91.05,83.26,68.52,98.76,91.34,82.51,65.19,238183.0,255323.0,213391.0,172251.0
2024-03-01,617,280733.0,455.0,100.0,102.12,99.48,97.43,106.01,102.71,102.54,102.22,101.97,99.05,96.31,92.97,90.5,99.72,92.89,84.42,70.49,98.87,93.03,85.25,71.31,273526.0,287854.0,254070.0,197880.0
2024-04-01,611,292289.0,478.38,100.0,101.08,99.14,109.89,107.1,106.26,104.61,105.07,103.84,102.16,99.64,98.3,96.03,99.75,94.83,87.94,76.47,98.53,92.64,84.29,68.25,321184.0,305775.0,280673.0,223503.0
2024-05-01,752,351548.0,467.48,100.0,101.4,110.82,108.82,106.57,103.86,101.69,97.76,96.35,94.4,94.31,91.35,91.97,99.31,93.7,85.36,70.61,98.27,91.76,82.71,68.09,382540.0,357478.0,323308.0,248218.0
2024-06-01,832,372718.0,447.98,100.0,111.25,108.89,105.52,104.06,103.15,101.84,101.77,100.55,98.41,96.31,93.03,91.36,98.8,90.7,83.91,70.33,98.2,89.9,81.61,66.23,393292.0,379571.0,340519.0,262129.0
2024-07-01,899,434791.0,483.64,100.0,100.22,99.21,97.38,95.3,93.84,91.19,87.63,87.87,86.46,85.28,83.81,80.93,98.99,94.27,85.44,70.02,98.33,91.55,82.2,67.3,423397.0,396471.0,351875.0,304425.0
2024-08-01,846,443034.0,523.68,100.0,100.31,99.07,96.58,95.93,94.74,94.63,93.95,91.9,89.49,88.06,86.33,82.71,98.85,93.76,88.62,74.04,97.16,90.19,81.68,68.09,427887.0,419229.0,366454.0,328004.0
2024-09-01,934,461576.0,494.19,100.0,101.82,100.77,98.27,97.09,95.19,92.77,91.83,88.45,87.24,86.62,85.57,83.33,99.21,94.42,87.11,73.5,98.29,92.4,83.62,67.56,453577.0,428199.0,384619.0,339249.0
2024-10-01,900,420020.0,466.69,100.0,99.93,98.51,97.87,95.81,94.53,92.32,90.7,89.49,87.91,86.86,85.28,84.25,98.9,92.91,84.76,72.19,97.89,91.33,81.89,67.56,411058.0,387773.0,353882.0,303232.0
2024-11-01,1008,508082.0,504.05,100.0,99.62,96.24,93.07,91.78,91.0,89.38,88.62,85.67,83.69,81.05,78.71,76.57,98.55,89.63,82.92,66.73,97.02,89.58,82.34,66.47,472867.0,454140.0,389040.0,339060.0
2024-12-01,1065,528125.0,495.89,100.0,100.76,97.76,96.98,94.86,94.03,93.31,91.46,88.75,87.3,84.19,81.63,79.82,98.28,92.31,85.74,69.43,96.34,89.58,80.38,64.69,512196.0,492804.0,421531.0,366691.0
2025-01-01,995,489525.0,491.98,100.0,99.46,99.37,96.69,95.64,93.98,92.04,89.47,88.61,86.95,84.37,83.19,82.02,98.41,93.06,85.88,72.38,97.09,89.85,81.31,67.34,473326.0,450541.0,401530.0,354330.0
2025-02-01,1028,519612.0,505.46,100.0,100.08,97.79,94.85,93.72,92.02,90.51,89.04,87.62,86.3,84.71,83.61,,98.8,91.43,84.12,,97.47,90.76,80.25,,492857.0,470295.0,,
2025-03-01,1008,549902.0,545.54,100.0,100.69,98.75,97.09,94.6,92.6,91.61,90.68,90.7,88.46,87.06,,,99.52,94.0,84.83,,98.41,91.57,82.14,,533927.0,503782.0,,
2025-04-01,1031,549259.0,532.74,100.0,100.2,96.78,94.13,92.54,90.32,88.1,86.22,84.06,82.95,,,,99.1,92.1,83.4,,98.25,90.11,80.12,,517021.0,483914.0,,
2025-05-01,1117,567643.0,508.19,100.0,98.5,97.18,93.99,90.66,90.02,88.21,85.65,83.14,,,,,97.34,90.49,82.45,,96.87,89.62,79.68,,533509.0,500700.0,,
2025-06-01,1056,527104.0,499.15,100.0,100.11,98.16,97.03,96.18,95.81,94.29,92.75,,,,,,98.39,92.39,86.28,,96.97,90.81,81.44,,511431.0,497000.0,,
2025-07-01,1098,563852.0,513.53,100.0,99.16,97.04,94.94,92.63,91.16,90.0,,,,,,,98.25,91.99,85.03,,98.0,91.53,82.88,,535345.0,507450.0,,
2025-08-01,1076,530174.0,492.73,100.0,99.87,97.72,95.87,93.68,91.44,,,,,,,,98.54,91.95,,,97.96,90.71,,,508284.0,,,
2025-09-01,1036,540024.0,521.26,100.0,100.0,98.95,97.65,95.41,,,,,,,,,98.66,93.98,,,98.07,92.18,,,527315.0,,,
2025-10-01,1056,539634.0,511.02,100.0,99.35,98.02,95.74,,,,,,,,,,98.12,93.13,,,97.35,91.67,,,516672.0,,,
2025-11-01,1076,566434.0,526.43,100.0,99.57,96.36,,,,,,,,,,,98.92,,,,98.33,,,,,,,
2025-12-01,1093,561657.0,513.87,100.0,99.22,,,,,,,,,,,,99.22,,,,97.99,,,,,,,
